Time, N1, N2, EGT1, EGT2, Fuel Level, Fuel Flow
2024-12-27-19:32:59.134, 15550, 15550, nan, 20, 19993.9, 7.775
2024-12-27-19:32:59.139, 15600, 15600, nan, 20, 19993.9, 7.8
2024-12-27-19:32:59.144, 15650, 15650, nan, 20, 19993.9, 7.825
2024-12-27-19:32:59.149, 15700, 15700, nan, 20, 19993.8, 7.85
2024-12-27-19:32:59.154, 15750, 15750, nan, 20, 19993.8, 7.875
2024-12-27-19:32:59.159, 15800, 15800, nan, 20, 19993.7, 7.9
2024-12-27-19:32:59.164, 15850, 15850, nan, 20, 19993.7, 7.925
2024-12-27-19:32:59.169, 15900, 15900, nan, 20, 19993.7, 7.95
2024-12-27-19:32:59.174, 15950, 15950, nan, 20, 19993.6, 7.975
2024-12-27-19:32:59.179, 16000, 16000, nan, 20, 19993.6, 8
2024-12-27-19:32:59.184, 16050, 16050, nan, 20, 19993.5, 8.025
2024-12-27-19:32:59.189, 16100, 16100, nan, 20, 19993.5, 8.05
2024-12-27-19:32:59.194, 16150, 16150, nan, 20, 19993.5, 8.075
2024-12-27-19:32:59.199, 16200, 16200, nan, 20, 19993.4, 8.1
2024-12-27-19:32:59.204, 16250, 16250, nan, 20, 19993.4, 8.125
2024-12-27-19:32:59.209, 16300, 16300, nan, 20, 19993.3, 8.15
2024-12-27-19:32:59.214, 16350, 16350, nan, 20, 19993.3, 8.175
2024-12-27-19:32:59.219, 16400, 16400, nan, 20, 19993.3, 8.2
2024-12-27-19:32:59.224, 16450, 16450, nan, 20, 19993.2, 8.225
2024-12-27-19:32:59.229, 16500, 16500, nan, 20, 19993.2, 8.25
2024-12-27-19:32:59.234, 16550, 16550, nan, 20, 19993.1, 8.275
2024-12-27-19:32:59.239, 16600, 16600, nan, 20, 19993.1, 8.3
2024-12-27-19:32:59.244, 16650, 16650, nan, 20, 19993, 8.325
2024-12-27-19:32:59.249, 16700, 16700, nan, 20, 19993, 8.35
2024-12-27-19:32:59.254, 16750, 16750, nan, 20, 19993, 8.375
2024-12-27-19:32:59.259, 16800, 16800, nan, 20, 19992.9, 8.4
2024-12-27-19:32:59.264, 16850, 16850, nan, 20, 19992.9, 8.425
2024-12-27-19:32:59.269, 16900, 16900, nan, 20, 19992.8, 8.45
2024-12-27-19:32:59.274, 16950, 16950, nan, 20, 19992.8, 8.475
2024-12-27-19:32:59.279, 17000, 17000, nan, 20, 19992.8, 8.5
2024-12-27-19:32:59.284, 17050, 17050, nan, 20, 19992.7, 8.525
2024-12-27-19:32:59.289, 17100, 17100, nan, 20, 19992.7, 8.55
2024-12-27-19:32:59.294, 17150, 17150, nan, 20, 19992.6, 8.575
2024-12-27-19:32:59.299, 17200, 17200, nan, 20, 19992.6, 8.6
2024-12-27-19:32:59.304, 17250, 17250, nan, 20, 19992.5, 8.625
2024-12-27-19:32:59.309, 17300, 17300, nan, 20, 19992.5, 8.65
2024-12-27-19:32:59.314, 17350, 17350, nan, 20, 19992.5, 8.675
